,RAW_AF7,RAW_AF8
296,825.78015,855.3898
297,830.7151,855.3898
298,834.005,860.3247
299,842.2299,858.67975
300,830.7151,860.3247
301,807.68536,853.7448
302,820.8452,852.0998
303,820.8452,852.0998
304,817.55524,860.3247
305,830.7151,858.67975
306,834.005,863.6147
307,824.13513,858.67975
308,835.65,860.3247
309,824.13513,858.67975
310,819.2002,855.3898
311,819.2002,860.3247
312,810.9753,850.4548300000001
313,819.2002,853.7448
314,817.55524,857.0347
315,820.8452,855.3898
316,812.6203,857.0347
317,817.55524,860.3247
318,832.36005,865.25964
319,815.9103,860.3247
320,822.4902,861.9697
321,820.8452,860.3247
322,829.07007,853.7448
323,820.8452,857.0347
324,820.8452,852.0998
325,822.4902,855.3898
326,814.26526,853.7448
327,812.6203,852.0998
328,820.8452,852.0998
329,830.7151,857.0347
330,829.07007,853.7448
331,825.78015,855.3898
332,819.2002,853.7448
333,825.78015,858.67975
334,812.6203,857.0347
335,825.78015,853.7448
336,834.005,855.3898
337,817.55524,850.4548300000001
338,819.2002,853.7448
339,820.8452,853.7448
340,830.7151,863.6147
341,815.9103,857.0347
342,822.4902,853.7448
343,817.55524,848.8099
344,810.9753,845.5199
345,809.3303,845.5199
346,819.2002,850.4548300000001
347,829.07007,857.0347
348,820.8452,855.3898
349,832.36005,858.67975
350,819.2002,857.0347
351,819.2002,855.3898
352,824.13513,860.3247
353,832.36005,858.67975
354,824.13513,858.67975
355,827.4251,860.3247
356,820.8452,855.3898
357,827.4251,861.9697
358,824.13513,861.9697
359,804.3954,853.7448
360,827.4251,857.0347
361,827.4251,860.3247
362,809.3303,855.3898
363,835.65,855.3898
364,835.65,863.6147
365,815.9103,858.67975
366,835.65,863.6147
367,825.78015,866.9046599999999
368,825.78015,863.6147
369,825.78015,866.9046599999999
370,822.4902,858.67975
371,825.78015,863.6147
372,815.9103,861.9697
373,820.8452,863.6147
374,812.6203,858.67975
375,810.9753,858.67975
376,820.8452,865.25964
377,832.36005,865.25964
378,812.6203,860.3247
379,822.4902,858.67975
380,822.4902,861.9697
381,819.2002,855.3898
382,822.4902,863.6147
383,822.4902,857.0347
384,830.7151,858.67975
385,824.13513,857.0347
386,825.78015,855.3898
387,817.55524,855.3898
388,825.78015,857.0347
389,824.13513,860.3247
390,819.2002,852.0998
391,824.13513,858.67975
392,810.9753,860.3247
393,810.9753,855.3898
394,822.4902,857.0347
395,829.07007,855.3898
396,832.36005,857.0347
397,817.55524,853.7448
398,815.9103,858.67975
399,822.4902,858.67975
400,807.68536,855.3898
401,829.07007,857.0347
402,819.2002,857.0347
403,810.9753,852.0998
404,815.9103,855.3898
405,809.3303,850.4548300000001
406,822.4902,853.7448
407,822.4902,857.0347
408,820.8452,857.0347
409,817.55524,865.25964
410,809.3303,861.9697
411,802.7504,857.0347
412,815.9103,858.67975
413,824.13513,860.3247
414,822.4902,860.3247
415,824.13513,866.9046599999999
416,814.26526,861.9697
417,815.9103,853.7448
418,817.55524,858.67975
419,825.78015,855.3898
420,834.005,861.9697
421,822.4902,863.6147
422,822.4902,853.7448
423,815.9103,857.0347
424,815.9103,855.3898
425,829.07007,857.0347
426,820.8452,857.0347
427,820.8452,850.4548300000001
428,834.005,858.67975
429,817.55524,852.0998
430,825.78015,857.0347
431,817.55524,858.67975
432,829.07007,855.3898
433,824.13513,855.3898
434,819.2002,853.7448
435,825.78015,860.3247
436,820.8452,861.9697
437,822.4902,865.25964
438,815.9103,852.0998
439,822.4902,858.67975
440,815.9103,855.3898
441,814.26526,850.4548300000001
442,809.3303,857.0347
443,829.07007,861.9697
444,827.4251,863.6147
445,824.13513,861.9697
446,804.3954,858.67975
447,804.3954,855.3898
448,814.26526,858.67975
449,809.3303,857.0347
450,825.78015,857.0347
451,832.36005,863.6147
452,820.8452,863.6147
453,829.07007,866.9046599999999
454,809.3303,857.0347
455,802.7504,857.0347
456,830.7151,858.67975
457,815.9103,853.7448
458,824.13513,857.0347
459,827.4251,861.9697
460,819.2002,857.0347
461,830.7151,857.0347
462,825.78015,855.3898
463,832.36005,855.3898
464,819.2002,857.0347
465,815.9103,855.3898
466,810.9753,850.4548300000001
467,801.1054,847.16486
468,817.55524,852.0998
469,820.8452,853.7448
470,817.55524,857.0347
471,807.68536,850.4548300000001
